inc_q,saved,age,female,educ,urbanicity,emp_in,inc_educ,age_group
5,1,23,2,3,2,2,15,1
2,0,19,2,2,2,2,4,1
2,0,70,2,3,2,1,6,5
5,1,64,2,1,2,1,5,5
4,0,29,1,2,2,1,8,2
4,0,46,2,1,1,1,4,4
4,1,42,1,1,1,1,4,3
4,0,36,2,3,1,1,12,3
2,1,31,2,3,1,2,6,2
3,0,73,2,1,2,1,3,5
2,0,71,1,1,1,2,2,5
5,1,40,2,2,2,2,10,3
4,1,39,2,3,1,2,12,3
3,0,24,2,2,1,1,6,1
3,0,59,1,2,1,2,6,5
5,0,25,1,2,2,1,10,2
2,0,67,1,1,2,2,2,5
4,0,42,2,2,1,2,8,3
4,1,79,1,2,2,1,8,5
4,0,63,2,1,1,2,4,5
1,0,61,1,3,1,2,3,5
5,0,66,1,3,1,2,15,5
5,0,68,2,2,2,2,10,5
4,1,74,1,1,1,1,4,5
4,0,71,2,3,1,2,12,5
5,0,61,2,2,1,2,10,5
4,0,45,1,2,2,1,8,4
2,1,60,2,1,1,2,2,5
4,1,40,2,2,2,2,8,3
4,0,19,1,3,1,2,12,1
3,0,66,1,1,2,2,3,5
5,0,68,2,3,1,1,15,5
5,1,47,1,3,1,2,15,4
5,1,64,2,3,2,1,15,5
3,0,52,2,2,2,2,6,4
1,0,41,1,2,1,2,2,3
5,0,29,1,3,2,2,15,2
5,1,75,1,3,1,1,15,5
1,0,35,1,1,1,2,1,3
5,0,60,2,1,1,2,5,5
5,0,20,2,2,2,1,10,1
4,0,52,1,2,1,1,8,4
4,1,76,1,1,2,1,4,5
3,0,76,2,3,1,1,9,5
1,0,60,2,2,2,2,2,5
3,0,27,2,3,2,2,9,2
5,0,17,2,1,1,2,5,1
1,0,20,1,2,2,2,2,1
3,0,22,2,2,1,1,6,1
3,0,58,2,1,1,2,3,5
4,1,47,1,2,1,2,8,4
5,1,64,2,1,1,2,5,5
3,0,25,2,2,1,2,6,2
3,0,42,1,1,2,1,3,3
5,1,55,1,2,1,2,10,5
3,1,30,1,3,2,2,9,2
2,0,62,2,3,2,2,6,5
3,1,70,2,3,1,1,9,5
2,0,78,1,2,2,1,4,5
2,0,73,1,2,1,2,4,5
4,1,76,2,3,2,2,12,5
3,1,25,1,3,2,2,9,2
5,1,32,1,1,2,1,5,2
3,0,33,1,1,1,2,3,2
4,0,69,2,1,2,2,4,5
4,1,40,2,3,1,2,12,3
1,0,20,2,3,2,1,3,1
4,0,18,2,3,2,2,12,1
2,0,43,2,1,2,2,2,3
5,0,73,2,2,2,1,10,5
2,0,31,1,3,1,1,6,2
3,1,57,2,2,1,2,6,5
1,0,48,2,2,2,1,2,4
5,0,22,1,2,2,2,10,1
4,0,27,2,1,1,1,4,2
4,1,22,2,2,1,1,8,1
1,0,79,1,3,1,2,3,5
5,0,57,1,1,1,2,5,5
2,1,53,1,3,2,2,6,4
5,1,73,2,3,2,1,15,5
2,1,58,1,1,1,2,2,5
2,1,23,2,3,1,2,6,1
1,0,51,2,3,1,2,3,4
3,1,50,2,1,1,2,3,4
4,0,42,2,3,1,2,12,3
1,1,56,1,2,1,1,2,5
5,1,57,1,3,2,2,15,5
3,1,56,2,2,2,2,6,5
4,0,69,1,3,2,1,12,5
3,0,62,2,1,1,2,3,5
3,0,36,2,1,1,2,3,3
4,1,41,2,3,1,2,12,3
2,1,27,1,1,2,2,2,2
2,0,59,2,3,1,2,6,5
5,0,24,2,1,1,1,5,1
5,0,23,1,2,2,1,10,1
3,0,68,1,3,1,1,9,5
2,1,41,1,2,2,2,4,3
4,0,48,1,2,2,1,8,4
3,0,15,2,3,1,2,9,1
1,1,46,1,2,2,2,2,4
2,0,34,2,3,1,2,6,2
4,0,49,1,2,2,1,8,4
4,0,31,1,3,1,1,12,2
1,0,32,1,3,2,1,3,2
2,0,59,1,1,1,2,2,5
2,0,67,1,3,2,1,6,5
4,1,79,1,3,2,2,12,5
1,1,15,2,2,2,1,2,1
1,0,72,1,3,1,1,3,5
5,1,40,1,1,1,2,5,3
2,0,34,1,2,2,2,4,2
4,0,24,1,2,1,1,8,1
2,0,73,2,1,2,1,2,5
1,0,55,1,2,1,1,2,5
2,0,19,1,2,2,2,4,1
5,1,79,1,2,1,2,10,5
5,0,31,1,2,2,1,10,2
5,0,36,2,1,2,1,5,3
3,1,55,1,1,2,2,3,5
4,0,25,2,2,2,1,8,2
2,0,70,1,2,1,2,4,5
2,0,65,2,1,2,2,2,5
5,1,35,2,1,1,2,5,3
1,0,40,1,1,1,2,1,3
1,0,33,1,2,2,2,2,2
2,0,74,2,2,1,2,4,5
1,0,61,2,3,1,1,3,5
2,0,40,1,1,1,2,2,3
4,1,54,2,2,2,2,8,4
3,0,19,2,1,1,1,3,1
5,1,35,2,2,1,2,10,3
5,0,18,1,1,2,1,5,1
3,1,37,2,2,2,2,6,3
2,0,29,2,3,1,1,6,2
3,0,22,2,3,2,1,9,1
4,0,55,1,1,1,2,4,5
2,0,33,1,2,1,2,4,2
4,1,60,2,2,1,2,8,5
3,1,42,1,1,2,2,3,3
4,0,29,2,2,1,1,8,2
3,0,51,1,1,2,1,3,4
2,0,15,1,2,2,1,4,1
5,1,38,2,1,1,2,5,3
5,0,41,1,2,2,1,10,3
2,0,54,1,1,2,2,2,4
5,0,77,1,2,2,2,10,5
3,0,75,2,3,2,1,9,5
5,0,50,1,2,2,2,10,4
5,1,38,1,1,1,1,5,3
3,0,38,2,3,2,2,9,3
1,0,18,1,2,1,1,2,1
2,0,48,1,3,1,2,6,4
4,0,71,1,2,1,1,8,5
4,0,63,1,3,1,1,12,5
2,0,67,1,1,1,2,2,5
2,0,37,2,2,1,2,4,3
5,0,67,2,2,2,1,10,5
5,0,76,1,1,2,2,5,5
4,0,55,1,3,2,2,12,5
2,0,71,1,1,1,2,2,5
2,0,74,2,1,2,1,2,5
1,0,68,2,3,2,1,3,5
5,0,71,1,1,2,2,5,5
1,0,24,1,2,1,2,2,1
4,0,54,2,2,2,1,8,4
2,0,21,1,2,1,2,4,1
4,0,52,2,1,2,1,4,4
4,0,75,2,2,1,2,8,5
5,1,17,1,2,1,2,10,1
2,0,65,2,2,1,2,4,5
1,0,61,1,2,2,1,2,5
1,0,52,1,2,2,1,2,4
5,0,50,1,2,1,1,10,4
5,0,55,1,1,2,1,5,5
4,0,27,1,2,1,2,8,2
4,0,72,1,2,1,2,8,5
4,0,64,2,3,2,1,12,5
2,0,44,2,1,2,2,2,3
5,0,76,2,1,2,2,5,5
3,0,39,2,1,1,1,3,3
3,1,41,1,1,1,2,3,3
4,1,65,2,2,2,2,8,5
1,0,71,2,2,1,1,2,5
2,0,61,2,3,2,2,6,5
5,1,53,1,3,1,2,15,4
1,0,30,2,1,2,2,1,2
4,0,36,1,3,2,1,12,3
2,0,68,2,3,1,1,6,5
3,1,35,1,1,2,2,3,3
2,0,30,1,1,2,2,2,2
3,0,73,2,3,1,2,9,5
4,0,45,1,2,2,1,8,4
2,0,56,1,3,1,1,6,5
4,0,46,2,3,2,1,12,4
3,0,73,2,2,1,2,6,5
4,0,48,2,2,2,2,8,4
5,0,23,1,1,2,2,5,1
5,1,25,1,1,2,2,5,2
2,0,24,1,3,2,2,6,1
1,0,31,2,2,1,1,2,2
2,0,62,1,1,1,2,2,5
4,1,66,1,3,1,2,12,5
1,0,39,1,2,1,2,2,3
4,0,35,1,3,1,1,12,3
4,1,79,1,1,1,2,4,5
3,1,77,1,1,1,1,3,5
5,0,65,1,2,2,1,10,5
1,0,50,2,3,2,1,3,4
1,0,29,2,2,2,1,2,2
5,0,53,2,1,2,1,5,4
4,0,15,1,1,1,2,4,1
4,0,37,1,3,1,2,12,3
3,0,53,2,3,1,1,9,4
2,0,71,1,3,2,1,6,5
5,0,48,2,2,1,1,10,4
5,1,55,1,3,2,2,15,5
4,1,27,1,3,1,2,12,2
2,0,20,2,1,1,1,2,1
4,0,66,2,1,1,2,4,5
3,0,17,2,3,1,2,9,1
1,0,77,2,3,2,1,3,5
5,1,63,2,1,2,1,5,5
1,1,61,1,3,1,2,3,5
5,0,69,1,2,2,2,10,5
4,1,69,1,2,2,1,8,5
5,1,68,2,3,2,2,15,5
4,1,58,2,3,1,1,12,5
5,1,35,1,2,2,1,10,3
2,1,64,1,3,1,1,6,5
3,1,29,1,1,2,2,3,2
2,1,29,2,1,1,2,2,2
3,1,40,1,2,2,2,6,3
3,1,28,1,2,1,1,6,2
5,1,71,2,3,1,2,15,5
4,1,72,1,2,2,1,8,5
4,1,35,1,1,1,2,4,3
4,1,51,2,2,1,1,8,4
4,1,47,1,3,2,2,12,4
4,1,55,2,3,1,2,12,5
2,1,79,2,1,1,2,2,5
5,1,16,1,3,2,2,15,1
5,1,71,2,1,2,1,5,5
4,1,30,1,3,2,2,12,2
5,1,65,2,3,2,1,15,5
2,1,24,2,3,2,2,6,1
5,1,78,2,1,1,1,5,5
3,1,77,1,1,1,2,3,5
5,1,72,1,3,1,1,15,5
5,1,17,2,1,1,1,5,1
4,1,58,2,3,1,1,12,5
3,1,53,2,1,2,2,3,4
3,1,66,2,3,2,1,9,5
3,1,33,1,2,1,2,6,2
4,1,25,1,3,1,2,12,2
5,1,26,2,1,1,2,5,2
3,1,56,1,3,1,1,9,5
4,1,74,2,3,1,1,12,5
5,1,26,2,2,2,2,10,2
2,1,16,2,2,1,1,4,1
2,1,47,2,1,1,1,2,4
5,1,46,2,1,2,2,5,4
5,1,25,1,3,1,2,15,2
3,1,60,1,3,2,2,9,5
1,1,30,2,2,2,2,2,2
4,1,34,1,2,2,1,8,2
2,1,75,1,3,1,1,6,5
4,1,58,2,2,1,2,8,5
4,1,25,1,3,2,2,12,2
2,1,17,2,2,2,1,4,1
5,1,44,1,1,2,1,5,3
2,1,42,2,3,2,1,6,3
5,1,47,2,3,1,1,15,4
4,1,66,1,1,1,1,4,5
2,1,55,1,2,2,1,4,5
5,1,65,2,3,1,1,15,5
4,1,72,1,3,2,2,12,5
3,1,31,1,1,2,1,3,2
2,1,25,2,1,2,1,2,2
4,1,48,2,1,1,2,4,4
3,1,34,1,3,2,2,9,2
1,1,72,2,2,1,1,2,5
5,1,61,1,2,1,2,10,5
2,1,52,1,1,1,2,2,4
5,1,77,2,3,2,1,15,5
4,1,35,2,3,1,1,12,3
5,1,37,2,1,2,1,5,3
5,1,73,1,2,2,2,10,5
5,1,60,2,2,2,1,10,5
5,1,52,1,3,1,1,15,4
4,1,28,1,3,2,2,12,2
4,1,62,1,1,1,1,4,5
4,1,33,2,2,1,1,8,2
4,1,33,1,3,1,2,12,2
5,1,61,2,2,1,1,10,5
4,1,52,1,1,2,2,4,4
2,1,50,1,2,2,2,4,4
5,1,44,1,1,1,1,5,3
4,1,47,2,1,1,2,4,4
4,1,28,2,3,1,1,12,2
5,1,22,2,2,2,1,10,1
1,1,55,1,1,1,1,1,5
2,1,30,2,2,2,2,4,2
5,1,62,1,2,2,2,10,5
5,1,44,1,3,2,1,15,3
3,1,26,2,3,1,2,9,2
1,1,49,1,1,2,2,1,4
5,1,25,1,3,1,1,15,2
5,1,62,1,1,2,2,5,5
3,1,58,2,2,2,1,6,5
4,1,49,2,1,2,1,4,4
5,1,52,1,3,2,2,15,4
5,1,34,2,3,1,1,15,2
5,1,43,1,1,1,1,5,3
4,1,18,1,2,2,2,8,1
4,1,54,2,3,2,1,12,4
4,1,75,2,3,1,2,12,5
5,1,76,2,3,2,1,15,5
4,1,22,2,1,2,1,4,1
5,1,34,1,2,2,1,10,2
3,1,63,2,1,1,2,3,5
1,1,76,2,3,1,1,3,5
5,1,23,1,2,1,2,10,1
2,1,69,2,3,2,1,6,5
5,1,53,1,3,2,1,15,4
3,1,25,1,3,1,1,9,2
1,1,54,2,1,1,2,1,4
1,1,33,1,2,2,2,2,2
5,1,75,1,3,1,1,15,5
3,1,60,2,2,1,1,6,5
4,1,61,1,1,2,2,4,5
4,1,47,1,2,1,1,8,4
5,1,33,1,1,1,2,5,2
1,1,53,1,3,2,1,3,4
4,1,16,1,2,1,2,8,1
4,1,24,1,2,2,2,8,1
5,1,53,2,2,1,2,10,4
5,1,41,2,1,2,1,5,3
2,1,16,2,3,1,1,6,1
1,1,30,2,2,2,1,2,2
4,1,16,2,1,1,2,4,1
5,1,49,1,3,2,1,15,4
5,1,37,1,2,2,1,10,3
5,1,52,1,3,2,1,15,4
5,1,32,2,3,2,1,15,2
5,1,42,2,3,2,1,15,3
5,1,77,1,3,1,1,15,5
5,1,38,1,2,1,1,10,3
1,1,48,2,2,2,1,2,4
5,1,70,1,2,1,1,10,5
3,1,51,1,2,2,2,6,4
2,1,61,2,2,2,1,4,5
5,1,74,1,1,1,2,5,5
4,1,63,1,3,1,1,12,5
3,1,52,1,2,1,2,6,4
3,1,22,2,1,1,2,3,1
2,1,62,1,2,2,1,4,5
4,1,59,2,2,1,1,8,5
5,1,41,1,2,1,2,10,3
5,1,64,2,2,2,1,10,5
5,1,73,2,1,1,1,5,5
3,1,29,1,3,2,2,9,2
1,1,44,2,3,1,1,3,3
5,1,56,2,1,1,2,5,5
5,1,49,2,1,2,2,5,4
1,1,43,2,1,1,2,1,3
5,1,63,2,1,1,1,5,5
5,1,48,1,2,1,1,10,4
3,1,67,1,1,1,1,3,5
5,1,17,2,2,1,2,10,1
5,1,46,2,3,2,1,15,4
5,1,58,1,3,1,2,15,5
4,1,38,1,2,2,1,8,3
5,1,27,2,2,1,1,10,2
4,1,25,1,1,2,2,4,2
4,1,31,2,3,2,1,12,2
5,1,31,2,1,1,2,5,2
4,1,70,1,2,1,1,8,5
5,1,66,1,3,2,1,15,5
4,1,69,2,1,2,2,4,5
3,1,47,1,1,1,1,3,4
5,1,76,2,2,2,1,10,5
5,1,37,2,2,1,2,10,3
5,1,65,2,1,2,2,5,5
5,1,67,1,2,1,2,10,5
4,1,61,1,2,1,2,8,5
5,1,21,2,2,2,1,10,1
5,1,73,1,3,1,1,15,5
5,1,75,1,3,1,1,15,5
4,1,45,1,1,2,2,4,4
4,1,55,1,1,1,1,4,5
3,1,44,2,1,2,1,3,3
4,1,61,1,2,2,1,8,5
5,1,40,1,2,2,1,10,3
4,1,21,1,1,1,2,4,1
5,1,79,1,2,2,2,10,5
4,1,29,2,3,1,1,12,2
4,1,51,1,3,2,1,12,4
4,1,15,1,1,1,1,4,1
4,1,18,2,3,1,1,12,1
5,1,44,2,3,2,1,15,3
2,1,48,1,2,1,2,4,4
4,1,48,1,2,2,2,8,4
2,1,53,1,3,1,1,6,4
2,1,44,1,1,1,2,2,3
4,1,39,1,3,2,1,12,3
5,1,37,1,2,2,1,10,3
2,1,34,1,3,2,2,6,2
5,1,46,2,2,2,1,10,4
4,1,36,1,2,2,2,8,3
5,1,45,1,2,1,2,10,4
3,1,40,2,2,2,2,6,3
3,1,22,1,2,1,2,6,1
1,1,55,2,3,1,2,3,5
2,1,58,2,3,1,2,6,5
4,1,25,2,1,1,2,4,2
5,1,33,1,1,1,2,5,2
4,1,23,1,1,1,2,4,1
2,1,63,1,1,1,1,2,5
5,1,72,1,3,1,2,15,5
2,1,47,1,3,1,1,6,4
2,1,69,2,3,1,1,6,5
2,1,24,1,2,2,1,4,1
2,1,37,2,2,2,2,4,3
2,1,27,1,3,2,2,6,2
1,1,38,1,1,1,2,1,3
4,1,25,2,3,1,2,12,2
3,1,31,2,2,1,1,6,2
5,1,61,2,3,1,2,15,5
5,1,56,2,3,2,1,15,5
2,1,62,2,1,1,2,2,5
5,1,55,1,1,1,2,5,5
4,1,32,1,1,1,2,4,2
2,1,27,1,2,2,1,4,2
3,1,16,2,1,1,1,3,1
3,1,22,2,3,1,1,9,1
1,1,50,1,2,1,1,2,4
5,1,42,2,2,2,1,10,3
5,1,79,2,3,1,1,15,5
3,1,71,1,2,1,1,6,5
5,1,24,2,2,2,1,10,1
5,1,61,1,3,2,1,15,5
5,1,16,1,3,1,1,15,1
2,1,49,2,1,1,2,2,4
2,1,39,1,3,1,2,6,3
3,1,57,2,2,2,1,6,5
3,1,30,2,3,1,2,9,2
5,1,61,2,3,2,1,15,5
4,1,72,2,3,2,2,12,5
4,1,48,2,1,1,1,4,4
5,1,69,2,1,2,2,5,5
4,1,72,2,1,2,1,4,5
4,1,21,2,1,1,2,4,1
2,1,21,1,1,2,1,2,1
5,1,73,2,3,1,1,15,5
3,1,18,1,3,1,2,9,1
5,1,23,2,3,2,2,15,1
5,1,64,2,1,2,1,5,5
4,1,42,1,1,1,1,4,3
2,1,31,2,3,1,2,6,2
5,1,40,2,2,2,2,10,3
4,1,39,2,3,1,2,12,3
4,1,79,1,2,2,1,8,5
4,1,74,1,1,1,1,4,5
2,1,60,2,1,1,2,2,5
4,1,40,2,2,2,2,8,3
5,1,47,1,3,1,2,15,4
5,1,64,2,3,2,1,15,5
5,1,75,1,3,1,1,15,5
4,1,76,1,1,2,1,4,5
4,1,47,1,2,1,2,8,4
5,1,64,2,1,1,2,5,5
5,1,55,1,2,1,2,10,5
3,1,30,1,3,2,2,9,2
3,1,70,2,3,1,1,9,5
4,1,76,2,3,2,2,12,5
3,1,25,1,3,2,2,9,2
5,1,32,1,1,2,1,5,2
4,1,40,2,3,1,2,12,3
3,1,57,2,2,1,2,6,5
4,1,22,2,2,1,1,8,1
2,1,53,1,3,2,2,6,4
5,1,73,2,3,2,1,15,5
2,1,58,1,1,1,2,2,5
2,1,23,2,3,1,2,6,1
3,1,50,2,1,1,2,3,4
1,1,56,1,2,1,1,2,5
5,1,57,1,3,2,2,15,5
3,1,56,2,2,2,2,6,5
4,1,41,2,3,1,2,12,3
2,1,27,1,1,2,2,2,2
2,1,41,1,2,2,2,4,3
1,1,46,1,2,2,2,2,4
4,1,79,1,3,2,2,12,5
1,1,15,2,2,2,1,2,1
5,1,40,1,1,1,2,5,3
5,1,79,1,2,1,2,10,5
3,1,55,1,1,2,2,3,5
5,1,35,2,1,1,2,5,3
4,1,54,2,2,2,2,8,4
5,1,35,2,2,1,2,10,3
3,1,37,2,2,2,2,6,3
4,1,60,2,2,1,2,8,5
3,1,42,1,1,2,2,3,3
5,1,38,2,1,1,2,5,3
5,1,38,1,1,1,1,5,3
5,1,17,1,2,1,2,10,1
3,1,41,1,1,1,2,3,3
4,1,65,2,2,2,2,8,5
5,1,53,1,3,1,2,15,4
3,1,35,1,1,2,2,3,3
5,1,25,1,1,2,2,5,2
4,1,66,1,3,1,2,12,5
4,1,79,1,1,1,2,4,5
3,1,77,1,1,1,1,3,5
5,1,55,1,3,2,2,15,5
4,1,27,1,3,1,2,12,2
5,1,63,2,1,2,1,5,5
1,1,61,1,3,1,2,3,5
4,1,69,1,2,2,1,8,5
5,1,68,2,3,2,2,15,5
4,1,58,2,3,1,1,12,5
5,1,35,1,2,2,1,10,3
2,1,64,1,3,1,1,6,5
3,1,29,1,1,2,2,3,2
2,1,29,2,1,1,2,2,2
3,1,40,1,2,2,2,6,3
3,1,28,1,2,1,1,6,2
5,1,71,2,3,1,2,15,5
4,1,72,1,2,2,1,8,5
4,1,35,1,1,1,2,4,3
4,1,51,2,2,1,1,8,4
4,1,47,1,3,2,2,12,4
4,1,55,2,3,1,2,12,5
2,1,79,2,1,1,2,2,5
5,1,16,1,3,2,2,15,1
5,1,71,2,1,2,1,5,5
4,1,30,1,3,2,2,12,2
5,1,65,2,3,2,1,15,5
2,1,24,2,3,2,2,6,1
5,1,78,2,1,1,1,5,5
3,1,77,1,1,1,2,3,5
5,1,72,1,3,1,1,15,5
5,1,17,2,1,1,1,5,1
4,1,58,2,3,1,1,12,5
3,1,53,2,1,2,2,3,4
3,1,66,2,3,2,1,9,5
3,1,33,1,2,1,2,6,2
4,1,25,1,3,1,2,12,2
5,1,26,2,1,1,2,5,2
3,1,56,1,3,1,1,9,5
4,1,74,2,3,1,1,12,5
5,1,26,2,2,2,2,10,2
2,1,16,2,2,1,1,4,1
2,1,47,2,1,1,1,2,4
5,1,46,2,1,2,2,5,4
5,1,25,1,3,1,2,15,2
3,1,60,1,3,2,2,9,5
1,1,30,2,2,2,2,2,2
4,1,34,1,2,2,1,8,2
2,1,75,1,3,1,1,6,5
4,1,58,2,2,1,2,8,5
4,1,25,1,3,2,2,12,2
2,1,17,2,2,2,1,4,1
5,1,44,1,1,2,1,5,3
2,1,42,2,3,2,1,6,3
5,1,47,2,3,1,1,15,4
4,1,66,1,1,1,1,4,5
2,1,55,1,2,2,1,4,5
5,1,65,2,3,1,1,15,5
4,1,72,1,3,2,2,12,5
3,1,31,1,1,2,1,3,2
2,1,25,2,1,2,1,2,2
4,1,48,2,1,1,2,4,4
3,1,34,1,3,2,2,9,2
1,1,72,2,2,1,1,2,5
5,1,61,1,2,1,2,10,5
2,1,52,1,1,1,2,2,4
5,1,77,2,3,2,1,15,5
4,1,35,2,3,1,1,12,3
5,1,37,2,1,2,1,5,3
5,1,73,1,2,2,2,10,5
5,1,60,2,2,2,1,10,5
5,1,52,1,3,1,1,15,4
4,1,28,1,3,2,2,12,2
4,1,62,1,1,1,1,4,5
4,1,33,2,2,1,1,8,2
4,1,33,1,3,1,2,12,2
5,1,61,2,2,1,1,10,5
4,1,52,1,1,2,2,4,4
2,1,50,1,2,2,2,4,4
5,1,44,1,1,1,1,5,3
4,1,47,2,1,1,2,4,4
4,1,28,2,3,1,1,12,2
5,1,22,2,2,2,1,10,1
1,1,55,1,1,1,1,1,5
2,1,30,2,2,2,2,4,2
5,1,62,1,2,2,2,10,5
5,1,44,1,3,2,1,15,3
3,1,26,2,3,1,2,9,2
1,1,49,1,1,2,2,1,4
5,1,25,1,3,1,1,15,2
5,1,62,1,1,2,2,5,5
3,1,58,2,2,2,1,6,5
4,1,49,2,1,2,1,4,4
5,1,52,1,3,2,2,15,4
5,1,34,2,3,1,1,15,2
5,1,43,1,1,1,1,5,3
4,1,18,1,2,2,2,8,1
4,1,54,2,3,2,1,12,4
4,1,75,2,3,1,2,12,5
5,1,76,2,3,2,1,15,5
4,1,22,2,1,2,1,4,1
5,1,34,1,2,2,1,10,2
3,1,63,2,1,1,2,3,5
1,1,76,2,3,1,1,3,5
5,1,23,1,2,1,2,10,1
2,1,69,2,3,2,1,6,5
5,1,53,1,3,2,1,15,4
3,1,25,1,3,1,1,9,2
1,1,54,2,1,1,2,1,4
1,1,33,1,2,2,2,2,2
5,1,75,1,3,1,1,15,5
3,1,60,2,2,1,1,6,5
4,1,61,1,1,2,2,4,5
4,1,47,1,2,1,1,8,4
5,1,33,1,1,1,2,5,2
1,1,53,1,3,2,1,3,4
4,1,16,1,2,1,2,8,1
4,1,24,1,2,2,2,8,1
5,1,53,2,2,1,2,10,4
5,1,41,2,1,2,1,5,3
2,1,16,2,3,1,1,6,1
1,1,30,2,2,2,1,2,2
4,1,16,2,1,1,2,4,1
5,1,49,1,3,2,1,15,4
5,1,37,1,2,2,1,10,3
5,1,52,1,3,2,1,15,4
5,1,32,2,3,2,1,15,2
5,1,42,2,3,2,1,15,3
5,1,77,1,3,1,1,15,5
5,1,38,1,2,1,1,10,3
1,1,48,2,2,2,1,2,4
5,1,70,1,2,1,1,10,5
3,1,51,1,2,2,2,6,4
2,1,61,2,2,2,1,4,5
5,1,74,1,1,1,2,5,5
4,1,63,1,3,1,1,12,5
3,1,52,1,2,1,2,6,4
3,1,22,2,1,1,2,3,1
2,1,62,1,2,2,1,4,5
4,1,59,2,2,1,1,8,5
5,1,41,1,2,1,2,10,3
5,1,64,2,2,2,1,10,5
5,1,73,2,1,1,1,5,5
3,1,29,1,3,2,2,9,2
1,1,44,2,3,1,1,3,3
5,1,56,2,1,1,2,5,5
5,1,49,2,1,2,2,5,4
1,1,43,2,1,1,2,1,3
5,1,63,2,1,1,1,5,5
5,1,48,1,2,1,1,10,4
3,1,67,1,1,1,1,3,5
5,1,17,2,2,1,2,10,1
5,1,46,2,3,2,1,15,4
5,1,58,1,3,1,2,15,5
4,1,38,1,2,2,1,8,3
5,1,27,2,2,1,1,10,2
4,1,25,1,1,2,2,4,2
4,1,31,2,3,2,1,12,2
5,1,31,2,1,1,2,5,2
4,1,70,1,2,1,1,8,5
5,1,66,1,3,2,1,15,5
4,1,69,2,1,2,2,4,5
3,1,47,1,1,1,1,3,4
5,1,76,2,2,2,1,10,5
5,1,37,2,2,1,2,10,3
5,1,65,2,1,2,2,5,5
5,1,67,1,2,1,2,10,5
4,1,61,1,2,1,2,8,5
5,1,21,2,2,2,1,10,1
5,1,73,1,3,1,1,15,5
5,1,75,1,3,1,1,15,5
4,1,45,1,1,2,2,4,4
4,1,55,1,1,1,1,4,5
3,1,44,2,1,2,1,3,3
4,1,61,1,2,2,1,8,5
5,1,40,1,2,2,1,10,3
4,1,21,1,1,1,2,4,1
5,1,79,1,2,2,2,10,5
4,1,29,2,3,1,1,12,2
4,1,51,1,3,2,1,12,4
4,1,15,1,1,1,1,4,1
4,1,18,2,3,1,1,12,1
5,1,44,2,3,2,1,15,3
2,1,48,1,2,1,2,4,4
4,1,48,1,2,2,2,8,4
2,1,53,1,3,1,1,6,4
2,1,44,1,1,1,2,2,3
4,1,39,1,3,2,1,12,3
5,1,37,1,2,2,1,10,3
2,1,34,1,3,2,2,6,2
5,1,46,2,2,2,1,10,4
4,1,36,1,2,2,2,8,3
5,1,45,1,2,1,2,10,4
3,1,40,2,2,2,2,6,3
3,1,22,1,2,1,2,6,1
1,1,55,2,3,1,2,3,5
2,1,58,2,3,1,2,6,5
4,1,25,2,1,1,2,4,2
5,1,33,1,1,1,2,5,2
4,1,23,1,1,1,2,4,1
2,1,63,1,1,1,1,2,5
5,1,72,1,3,1,2,15,5
2,1,47,1,3,1,1,6,4
2,1,69,2,3,1,1,6,5
2,1,24,1,2,2,1,4,1
2,1,37,2,2,2,2,4,3
2,1,27,1,3,2,2,6,2
1,1,38,1,1,1,2,1,3
4,1,25,2,3,1,2,12,2
3,1,31,2,2,1,1,6,2
5,1,61,2,3,1,2,15,5
5,1,56,2,3,2,1,15,5
2,1,62,2,1,1,2,2,5
5,1,55,1,1,1,2,5,5
4,1,32,1,1,1,2,4,2
2,1,27,1,2,2,1,4,2
3,1,16,2,1,1,1,3,1
3,1,22,2,3,1,1,9,1
1,1,50,1,2,1,1,2,4
5,1,42,2,2,2,1,10,3
5,1,79,2,3,1,1,15,5
3,1,71,1,2,1,1,6,5
5,1,24,2,2,2,1,10,1
5,1,61,1,3,2,1,15,5
5,1,16,1,3,1,1,15,1
2,1,49,2,1,1,2,2,4
2,1,39,1,3,1,2,6,3
3,1,57,2,2,2,1,6,5
3,1,30,2,3,1,2,9,2
5,1,61,2,3,2,1,15,5
4,1,72,2,3,2,2,12,5
4,1,48,2,1,1,1,4,4
5,1,69,2,1,2,2,5,5
4,1,72,2,1,2,1,4,5
4,1,21,2,1,1,2,4,1
2,1,21,1,1,2,1,2,1
5,1,73,2,3,1,1,15,5
3,1,18,1,3,1,2,9,1
5,1,23,2,3,2,2,15,1
5,1,64,2,1,2,1,5,5
4,1,42,1,1,1,1,4,3
2,1,31,2,3,1,2,6,2
5,1,40,2,2,2,2,10,3
4,1,39,2,3,1,2,12,3
4,1,79,1,2,2,1,8,5
4,1,74,1,1,1,1,4,5
2,1,60,2,1,1,2,2,5
4,1,40,2,2,2,2,8,3
5,1,47,1,3,1,2,15,4
5,1,64,2,3,2,1,15,5
5,1,75,1,3,1,1,15,5
4,1,76,1,1,2,1,4,5
4,1,47,1,2,1,2,8,4
5,1,64,2,1,1,2,5,5
5,1,55,1,2,1,2,10,5
3,1,30,1,3,2,2,9,2
3,1,70,2,3,1,1,9,5
4,1,76,2,3,2,2,12,5
3,1,25,1,3,2,2,9,2
5,1,32,1,1,2,1,5,2
4,1,40,2,3,1,2,12,3
3,1,57,2,2,1,2,6,5
4,1,22,2,2,1,1,8,1
